Title,Slug,URL,Category,Build Type/Short Desc,Year,IMO,Flag,Class,Water Depth,Leg Length,Deck Area,Crane Capacity,POB,DWT,Bollard Pull,Helideck
QMS Conquest,qms-conquest,https://zmiglobal.com/fleet/qms-conquest/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2011,9567855,Panama,ABS,65,97.53 m | 97.5,1100 m2,1 X 226.8MT,160,847.07,,22.2 m
Dixie Patriot,dixie-patriot,https://zmiglobal.com/fleet/dixie-patriot/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2003,8765694,Panama,DNV,60.9,85.34 m | 85.3,"1,020 m2",1 X 182MT,135,362.46,,17 m
QMS Achiever,qms-achiever,https://zmiglobal.com/fleet/qms-achiever/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2017,9769946,Panama,ABS,80,107.00 m excluding spud cans | 110,"1,950 m2",2 X 190T,250,3954.88,,22.2 m
QMS Al Bahia,qms-al-bahia,https://zmiglobal.com/fleet/qms-al-bahia/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2018,9828041,Panama,ABS,60,88.50 m excluding spud cans | 90,"1,500 m2",1 X 190T,150,1650,,22.2 m
QMS Al Maryah,qms-al-maryah,https://zmiglobal.com/fleet/qms-al-maryah/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2018,9828039,Panama,ABS,60,88.50 m excluding spud cans | 90,"1,500 m2",1 X 190T,150,1650,,22.2 m
QMS Al Oula,qms-al-oula,https://zmiglobal.com/fleet/qms-al-oula/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2010,8770558,Panama,ABS,65,97.53 m | 97.5,"1,100 m2",1 X 181MT,160,847.07,,22.2 m
QMS Al Shahama,qms-al-shahama,https://zmiglobal.com/fleet/qms-al-shahama/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2018,9804502,St. Vincent & the Grenadines,ABS,60,90.00 m excluding spud cans | 91.5,"1,500 m2",1 X 190T,150,1625.7,,22.2 m
QMS Al Shahama II,qms-al-shahama-ii,https://zmiglobal.com/fleet/qms-al-shahama-ii/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2019,9828077,Panama,ABS,60,88.50 m excluding spud cans | 90,"1,500 m2",1 X 190T,150,1650,,22.2 m
QMS Bani Yas,qms-bani-yas,https://zmiglobal.com/fleet/qms-bani-yas/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2019,9828065,Panama,ABS,60,88.50 m excluding spud cans | 90,"1,500 m2",1 X 190T,150,1650,,22.2 m
QMS Constructor,qms-constructor,https://zmiglobal.com/fleet/qms-constructor/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2014,9702962,Panama,ABS,60,90.00 m excluding spud cans | 91.5,"1,500 m2",1 X 190T,150,1669.18,,22 m
QMS Gladiator,qms-gladiator,https://zmiglobal.com/fleet/qms-gladiator/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2017,9769960,Panama,ABS,80,107.00 m excluding spud cans | 110,"1,950 m2",1 X 400T,250,3913.86,,22.2 m
QMS Gloria,qms-gloria,https://zmiglobal.com/fleet/qms-gloria/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2012,9609782,Panama,ABS,65,97.53 m | 97.5,"1,100 m2",1 X 226.8MT,180,1095,,22.2 m
QMS Lulwa,qms-lulwa,https://zmiglobal.com/fleet/qms-lulwa/,Self-Propelled Jack up Barge,Self-Propelled Jack up Barge,2014,9702297,Panama,ABS,60,90.00 m excluding spud cans | 91.5,"1,500 m2",1 X 190T,150,1693.25,,22.2 m
