Title,Slug,URL,Build/Type,Year,Deck m2,Crane,Water Depth m,Leg Length m,POB,IMO
QMS Conquest,qms-conquest,https://zmiglobal.com/fleet/qms-conquest/,Self-Propelled Jack up Barge,2011,1100 m2,1 X 226.8MT,65,97.53 m | 97.5,160,9567855
Dixie Patriot,dixie-patriot,https://zmiglobal.com/fleet/dixie-patriot/,Self-Propelled Jack up Barge,2003,"1,020 m2",1 X 182MT,60.9,85.34 m | 85.3,135,8765694
QMS Achiever,qms-achiever,https://zmiglobal.com/fleet/qms-achiever/,Self-Propelled Jack up Barge,2017,"1,950 m2",2 X 190T,80,107.00 m excluding spud cans | 110,250,9769946
QMS Al Bahia,qms-al-bahia,https://zmiglobal.com/fleet/qms-al-bahia/,Self-Propelled Jack up Barge,2018,"1,500 m2",1 X 190T,60,88.50 m excluding spud cans | 90,150,9828041
QMS Al Maryah,qms-al-maryah,https://zmiglobal.com/fleet/qms-al-maryah/,Self-Propelled Jack up Barge,2018,"1,500 m2",1 X 190T,60,88.50 m excluding spud cans | 90,150,9828039
QMS Al Oula,qms-al-oula,https://zmiglobal.com/fleet/qms-al-oula/,Self-Propelled Jack up Barge,2010,"1,100 m2",1 X 181MT,65,97.53 m | 97.5,160,8770558
QMS Al Shahama,qms-al-shahama,https://zmiglobal.com/fleet/qms-al-shahama/,Self-Propelled Jack up Barge,2018,"1,500 m2",1 X 190T,60,90.00 m excluding spud cans | 91.5,150,9804502
QMS Al Shahama II,qms-al-shahama-ii,https://zmiglobal.com/fleet/qms-al-shahama-ii/,Self-Propelled Jack up Barge,2019,"1,500 m2",1 X 190T,60,88.50 m excluding spud cans | 90,150,9828077
QMS Bani Yas,qms-bani-yas,https://zmiglobal.com/fleet/qms-bani-yas/,Self-Propelled Jack up Barge,2019,"1,500 m2",1 X 190T,60,88.50 m excluding spud cans | 90,150,9828065
QMS Constructor,qms-constructor,https://zmiglobal.com/fleet/qms-constructor/,Self-Propelled Jack up Barge,2014,"1,500 m2",1 X 190T,60,90.00 m excluding spud cans | 91.5,150,9702962
QMS Gladiator,qms-gladiator,https://zmiglobal.com/fleet/qms-gladiator/,Self-Propelled Jack up Barge,2017,"1,950 m2",1 X 400T,80,107.00 m excluding spud cans | 110,250,9769960
QMS Gloria,qms-gloria,https://zmiglobal.com/fleet/qms-gloria/,Self-Propelled Jack up Barge,2012,"1,100 m2",1 X 226.8MT,65,97.53 m | 97.5,180,9609782
QMS Lulwa,qms-lulwa,https://zmiglobal.com/fleet/qms-lulwa/,Self-Propelled Jack up Barge,2014,"1,500 m2",1 X 190T,60,90.00 m excluding spud cans | 91.5,150,9702297
QMS Marwa,qms-marwa,https://zmiglobal.com/fleet/qms-marwa/,Self-Propelled Jack up Barge,2019,"1,035 m2",1 X 300MT,70,94.20 m | 94.2,150,9788643
QMS Nouf,qms-nouf,https://zmiglobal.com/fleet/qms-nouf/,Self-Propelled Jack up Barge,2019,"1,100 m2",1 X 100T,73,103.78 m excluding spud cans | 106.7,173,9787742
QMS Omar,qms-omar,https://zmiglobal.com/fleet/qms-omar/,Self-Propelled Jack up Barge,2019,"1,100 m2",1 X 100T,73,103.78 m excluding spud cans | 106.7,191,9787730
QMS Pearl,qms-pearl,https://zmiglobal.com/fleet/qms-pearl/,Self-Propelled Jack up Barge,2016,"1,500 m2",1 X 190T,60,90.00 m excluding spud cans | 91.6,150,9770218
QMS Pride,qms-pride,https://zmiglobal.com/fleet/qms-pride/,Self-Propelled Jack up Barge,2016,"1,500 m2",1 X 190T,60,90.00 m excluding spud cans | 91.6,150,9770220
QMS Sentinel,qms-sentinel,https://zmiglobal.com/fleet/qms-sentinel/,Self-Propelled Jack up Barge,2017,"1,950 m2",2 X 300T,80,107.00 m excluding spud cans | 110,250,9769958
QMS Supporter,qms-supporter,https://zmiglobal.com/fleet/qms-supporter/,Self-Propelled Jack up Barge,2016,"1,500 m2",1 X 190T,60,90.00 m excluding spud cans | 91.6,150,9770206
QMS Surprise II,qms-surprise-ii,https://zmiglobal.com/fleet/qms-surprise-ii/,Self-Propelled Jack up Barge,-,"1,500 m2",1 X 190T,60,90.00 m excluding spud cans | 91.5,342,9814325
QMS Surprise XI,qms-surprise-xi,https://zmiglobal.com/fleet/qms-surprise-xi/,Self-Propelled Jack up Barge,2019,"1,500 m2",1 X 200MT,60,90.00 m | 91.5,300,9726994
QMS Subhiyah,qms-subhiyah,https://zmiglobal.com/fleet/qms-subhiyah/,313 POB,2014,"1,350 m2",1 X 181.4MT,79.2,137.25 m | 137.25,313,9675420
Venus 2,venus-2,https://zmiglobal.com/fleet/venus-2/,,2020,1035 M2,,60,94.2 | 94.2,150,9812731
Hea Al Sarab,hea-al-sarab,https://zmiglobal.com/fleet/hea-al-sarab/,"268 POB , Self-Elevating Unit",2025,800 m2,1 x 100 T,55 m / 30 m,84 m | 84 m,268,1046025
Pesto 4502,pesto-4502,https://zmiglobal.com/fleet/pesto-4502/,"151 POB SELF-PROPELLED, SELF-ELEVATING BARGE",2005,800 m²,1 x 45 mT,50 m,74.44 m excluding spud cans | 74.44 m excluding spud cans,151,9759367
Pili Pili 4503,pili-pili-4503,https://zmiglobal.com/fleet/pili-pili-4503/,"151 POB, Self-propelled, Self-elevating Unit",2017,800,1 x 45 mT,44.56 m,75.76 (excluding spudcans) | 75.76 (excluding spudcans),151,9776298
Kinoa 4307,kinoa-4307,https://zmiglobal.com/fleet/kinoa-4307/,"151 POB, Self-propelled, Self-elevating Unit",2012,550 m² (22m x 25m),1 x 45 mT,45 m,66 m excluding spud cans | 66 m excluding spud cans,151,9609380
Pandan 4502,pandan-4502,https://zmiglobal.com/fleet/pandan-4502/,"247 POB Self-propelled, Self-elevating unit",2020,800 m²,1 X 75 MT,50 m,75.78 m | 75.78 m,151,9795373
HEA Titan,hea-titan,https://zmiglobal.com/fleet/hea-titan/,,2018,2500 M2,,50m,4 PILE LEGS X 85 M | 4 PILE LEGS X 85 M,304,9803170
Venus 1,venus-1,https://zmiglobal.com/fleet/venus-1/,,2019,1035 M2,,60,94.2 | 94.2,150,9812729
Suhail,suhail,https://zmiglobal.com/fleet/suhail/,,2023,950 m2,,55,5.95 m | 5.95 m,150 POB,9807607
