Title,Slug,URL,Build Type,Year,DWT MT,Deck m2,Bollard Pull T,IMO
QMS Adventure,qms-adventure,https://zmiglobal.com/fleet/qms-adventure/,OSV (Offshore Support Vessel),2012,1339,350,-,9641209
QMS Cardinal,qms-cardinal,https://zmiglobal.com/fleet/qms-cardinal/,AHTS (Anchor Handling Tug Supply),2015,2495,480,81,9690717
QMS Delta,qms-delta,https://zmiglobal.com/fleet/qms-delta/,AHTS (Anchor Handling Tug Supply),2014,2580,480,85,9698496
QMS Huracan,qms-huracan,https://zmiglobal.com/fleet/qms-huracan/,OSV (Offshore Support Vessel),2015,1570,500,-,9750115
QMS Mariachi,qms-mariachi,https://zmiglobal.com/fleet/qms-mariachi/,AHTS (Anchor Handling Tug Supply),2014,2017,480,95,9649330
QMS Marimba,qms-marimba,https://zmiglobal.com/fleet/qms-marimba/,AHTS (Anchor Handling Tug Supply),2015,2570,350,92,9750098
QMS Neptune,qms-neptune,https://zmiglobal.com/fleet/qms-neptune/,AHTS (Anchor Handling Tug Supply),2014,2580,350,85,9698501
QMS Paraiso,qms-paraiso,https://zmiglobal.com/fleet/qms-paraiso/,MPSV (Multipurpose Supply Vessels),2015,1657,500,-,9750127
QMS Poseidon,qms-poseidon,https://zmiglobal.com/fleet/qms-poseidon/,MPSV (Multipurpose Supply Vessels),2015,1604,500,-,9774939
Sea Conquest,sea-conquest,https://zmiglobal.com/fleet/sea-conquest/,MPSV (Multipurpose Supply Vessels),2013,1679,370,-,9690963
Sea Hawk,sea-hawk,https://zmiglobal.com/fleet/sea-hawk/,MPSV (Multipurpose Supply Vessels),2012,1348,375,-,9662681
Sea Princess,sea-princess,https://zmiglobal.com/fleet/sea-princess/,AHT (Anchor Handling Tug),2011,471,122,45,9628025
Zakher Admiral,zakher-admiral,https://zmiglobal.com/fleet/zakher-admiral/,DSV (Diving Support Vessel),2007,746,201,-,9434280
Zakher Alpha,zakher-alpha,https://zmiglobal.com/fleet/zakher-alpha/,AHTS (Anchor Handling Tug Supply),2012,1250,370,65,9640865
Zakher Amazon,zakher-amazon,https://zmiglobal.com/fleet/zakher-amazon/,AHTS (Anchor Handling Tug Supply),2011,1351,370,66,9582219
Zakher Commander,zakher-commander,https://zmiglobal.com/fleet/zakher-commander/,AHTS (Anchor Handling Tug Supply),2009,1749,370,70,9535890
Zakher Crest,zakher-crest,https://zmiglobal.com/fleet/zakher-crest/,AHTS (Anchor Handling Tug Supply),2009,1281,320,72,9545194
Zakher Delmon,zakher-delmon,https://zmiglobal.com/fleet/zakher-delmon/,AHTS (Anchor Handling Tug Supply),2005,988,250,52,9309318
Zakher Dolphin,zakher-dolphin,https://zmiglobal.com/fleet/zakher-dolphin/,DSV (Diving Support Vessel),2006,488,110,-,9387475
Zakher Emperor,zakher-emperor,https://zmiglobal.com/fleet/zakher-emperor/,AHTS (Anchor Handling Tug Supply),2009,1785,280,64,9535888
Zakher Falcon,zakher-falcon,https://zmiglobal.com/fleet/zakher-falcon/,AHT (Anchor Handling Tug),2009,939,180,55,9545895
Zakher Force,zakher-force,https://zmiglobal.com/fleet/zakher-force/,AHT (Anchor Handling Tug),2010,813,225,63,9549889
Zakher Ocean,zakher-ocean,https://zmiglobal.com/fleet/zakher-ocean/,OSV (Offshore Support Vessel),2006,673,250,50,9385180
Zakher Pelican,zakher-pelican,https://zmiglobal.com/fleet/zakher-pelican/,MPSV (Multipurpose Supply Vessels),2009,1010,340,-,9544956
Zakher Pioneer,zakher-pioneer,https://zmiglobal.com/fleet/zakher-pioneer/,MPSV (Multipurpose Supply Vessels),2009,827,340,-,9544968
Zakher Power,zakher-power,https://zmiglobal.com/fleet/zakher-power/,AHTS (Anchor Handling Tug Supply),2010,1269,285,76,9583275
Zakher Provider,zakher-provider,https://zmiglobal.com/fleet/zakher-provider/,AHTS (Anchor Handling Tug Supply),2018,1683,370,74,9614414
Zakher Queen,zakher-queen,https://zmiglobal.com/fleet/zakher-queen/,AHT (Anchor Handling Tug),2005,401,178,40,9337535
Zakher Spirit,zakher-spirit,https://zmiglobal.com/fleet/zakher-spirit/,AHTS (Anchor Handling Tug Supply),2010,816,225,69,9549877
Zakher Star,zakher-star,https://zmiglobal.com/fleet/zakher-star/,AHTS (Anchor Handling Tug Supply),2011,1260,300,62,9583287
Zakher Supplier,zakher-supplier,https://zmiglobal.com/fleet/zakher-supplier/,AHTS (Anchor Handling Tug Supply),2009,1262,350,63,9545247
Zakher Victory,zakher-victory,https://zmiglobal.com/fleet/zakher-victory/,MPSV (Multipurpose Supply Vessels),2004,1120,250,-,9314399
Zakher Prince,zakher-prince,https://zmiglobal.com/fleet/zakher-prince/,AHT (Anchor Handling Tug),2002,321,150,38,9274719
Zakher King,zakher-king,https://zmiglobal.com/fleet/zakher-king/,AHT (Anchor Handling Tug),2004,317,150,46,9314698
Zakher Hope,zakher-hope,https://zmiglobal.com/fleet/zakher-hope/,AHT (Anchor Handling Tug),2006,281,105,49,9398852
Zakher Eagle,zakher-eagle,https://zmiglobal.com/fleet/zakher-eagle/,OSV (Offshore Support Vessel),2008,1223,350,-,9488463
Zakher Duty,zakher-duty,https://zmiglobal.com/fleet/zakher-duty/,DSV (Diving Support Vessel),2009,1106,300,-,9545235
TRITON P,triton-p,https://zmiglobal.com/fleet/triton-p/,Offshore Support Vessel,2013,1700,380,-,9630145
